Question,Gold Standard Entities,Gold Standard Relations,FALCON_Entities,P_E,R_E,FALCON_Relations,P_R,R_R
What is the total amount of men and women serving in the FDNY?,['http://dbpedia.org/resource/New_York_City_Fire_Department'],['http://dbpedia.org/property/employees'],['http://dbpedia.org/resource/FDNY_Racing'],0.0,0.0,"['http://dbpedia.org/ontology/populationTotal', 'http://dbpedia.org/ontology/authority', 'http://dbpedia.org/ontology/person', 'http://dbpedia.org/ontology/service']",0.0,0.0
Which actor played Chewbacca?,['http://dbpedia.org/resource/Chewbacca'],['http://dbpedia.org/ontology/portrayer'],['http://dbpedia.org/resource/Chewbacca'],1.0,1.0,"['http://dbpedia.org/ontology/artist', 'http://dbpedia.org/ontology/portrayer']",0.5,1.0
Give me all libraries established earlier than 1400.,[],[],"['http://dbpedia.org/resource/Libraries_in_Brighton_and_Hove', 'http://dbpedia.org/resource/1400']",0,0,"['http://dbpedia.org/ontology/established', 'http://dbpedia.org/ontology/date']",0,0
Which programming languages were influenced by Perl?,"['http://dbpedia.org/resource/Perl', 'http://dbpedia.org/resource/Perl']",[],['http://dbpedia.org/resource/Perl'],1.0,0.5,"['http://dbpedia.org/property/programmingLanguage', 'http://dbpedia.org/ontology/influenced']",0,0
In which U.S. state is Mount McKinley located?,['http://dbpedia.org/resource/Mount_McKinley'],['http://dbpedia.org/ontology/wikiPageRedirects'],"['http://dbpedia.org/resource/United_States', 'http://dbpedia.org/resource/Denali']",0.0,0.0,['http://dbpedia.org/ontology/locatedInArea'],0.0,0.0
What airlines are part of the SkyTeam alliance?,"['http://dbpedia.org/resource/SkyTeam', 'http://dbpedia.org/resource/SkyTeam']",[],['http://dbpedia.org/resource/SkyTeam'],1.0,0.5,['http://dbpedia.org/ontology/icaoAirlineCode'],0,0
Which ships were called after Benjamin Franklin?,['http://dbpedia.org/resource/Benjamin_Franklin'],['http://dbpedia.org/property/shipNamesake'],['http://dbpedia.org/resource/Benjamin_Franklin'],1.0,1.0,"['http://dbpedia.org/ontology/shipBeam', 'http://dbpedia.org/property/nickname']",0.0,0.0
Give me all Methodist politicians.,['http://dbpedia.org/resource/Methodism'],[],['http://dbpedia.org/resource/Chicago_Politicians'],0.0,0.0,[],1,1
What other books have been written by the author of The Fault in Our Stars?,['http://dbpedia.org/resource/John_Green_(author)'],['http://dbpedia.org/ontology/author'],['http://dbpedia.org/resource/The_Fault_in_Our_Stars'],0.0,0.0,"['http://dbpedia.org/ontology/volume', 'http://dbpedia.org/ontology/writer', 'http://dbpedia.org/ontology/author']",0.3333333333333333,1.0
What is the highest mountain?,[],[],[],1,1,['http://dbpedia.org/ontology/highestMountain'],0,0
Which poet wrote the most books?,['http://dbpedia.org/resource/Poet'],"['http://dbpedia.org/ontology/occupation', 'http://dbpedia.org/ontology/author']",[],0,0.0,"['http://dbpedia.org/ontology/author', 'http://dbpedia.org/ontology/composer', 'http://dbpedia.org/ontology/volume']",0.3333333333333333,0.5
Which programming languages influenced Javascript?,['http://dbpedia.org/resource/JavaScript'],[],['http://dbpedia.org/resource/Syntax_(programming_languages)'],0.0,0.0,['http://dbpedia.org/property/programming'],0,0
Which musician wrote the most books?,['http://dbpedia.org/resource/Musician'],"['http://dbpedia.org/ontology/occupation', 'http://dbpedia.org/ontology/author']",[],0,0.0,"['http://dbpedia.org/ontology/show', 'http://dbpedia.org/ontology/composer', 'http://dbpedia.org/ontology/volume']",0.0,0.0
Which films starring Clint Eastwood did he direct himself?,"['http://dbpedia.org/resource/Clint_Eastwood', 'http://dbpedia.org/resource/Clint_Eastwood']",['http://dbpedia.org/ontology/director'],['http://dbpedia.org/resource/Clint_Eastwood'],1.0,0.5,"['http://dbpedia.org/ontology/numberOfFilms', 'http://dbpedia.org/ontology/starring', 'http://dbpedia.org/ontology/director']",0.3333333333333333,1.0
Which software has been developed by organizations founded in California?,['http://dbpedia.org/resource/California'],"['http://dbpedia.org/ontology/developer', 'http://dbpedia.org/ontology/foundationPlace']","['http://dbpedia.org/resource/Software_Publishing_Corporation', 'http://dbpedia.org/resource/California']",0.5,1.0,"['http://dbpedia.org/property/developer', 'http://dbpedia.org/ontology/agency', 'http://dbpedia.org/ontology/foundingYear']",0.3333333333333333,0.5
Which instruments does Cat Stevens play?,['http://dbpedia.org/resource/Cat_Stevens'],['http://dbpedia.org/ontology/instrument'],['http://dbpedia.org/resource/Cat_Stevens'],1.0,1.0,"['http://dbpedia.org/property/instrument', 'http://dbpedia.org/ontology/starring']",0.5,1.0
How many airlines are members of the Star Alliance?,['http://dbpedia.org/resource/Star_Alliance'],[],['http://dbpedia.org/resource/Star_Alliance'],1.0,1.0,"['http://dbpedia.org/ontology/icaoAirlineCode', 'http://dbpedia.org/property/members']",0,0
Give me all actors called Baldwin.,['http://dbpedia.org/resource/Actor'],"['oaf:surnam', 'http://dbpedia.org/ontology/occupation']",['http://dbpedia.org/resource/Baldwin'],0.0,0.0,"['http://dbpedia.org/ontology/background', 'http://dbpedia.org/property/nickname']",0.0,0.0
Who wrote The Hunger Games?,['http://dbpedia.org/resource/The_Hunger_Games'],['http://dbpedia.org/property/author'],['http://dbpedia.org/resource/The_Hunger_Games'],1.0,1.0,['http://dbpedia.org/property/author'],1.0,1.0
For which label did Elvis record his first album?,['http://dbpedia.org/resource/Elvis_Presley'],[],['http://dbpedia.org/resource/Elvis_(1973_album)'],0.0,0.0,"['http://dbpedia.org/property/label', 'http://dbpedia.org/ontology/recordLabel', 'http://dbpedia.org/ontology/album']",0,0
Is Christian Bale starring in Batman Begins?,"['http://dbpedia.org/resource/Batman_Begins', 'http://dbpedia.org/resource/Christian_Bale']",['http://dbpedia.org/ontology/starring'],"['http://dbpedia.org/resource/Christian_Bale', 'http://dbpedia.org/resource/Batman_Begins']",1.0,1.0,['http://dbpedia.org/ontology/starring'],1.0,1.0
Where is the residence of the prime minister of Spain?,['http://dbpedia.org/resource/Prime_Minister_of_Spain'],['http://dbpedia.org/property/residence'],['http://dbpedia.org/resource/Spain'],0.0,0.0,"['http://dbpedia.org/ontology/residence', 'http://dbpedia.org/ontology/primeMinister']",0.5,1.0
Which actor was casted in the most movies?,[],['http://dbpedia.org/ontology/starring'],[],1,1,"['http://dbpedia.org/ontology/artist', 'http://dbpedia.org/ontology/class', 'http://dbpedia.org/ontology/film']",0.0,0.0
Which countries have more than two official languages?,[],[],['http://dbpedia.org/resource/Countries_of_the_United_Kingdom'],0,0,['http://dbpedia.org/property/languages'],0,0
Which countries have more than ten caves?,[],['http://dbpedia.org/ontology/country'],"['http://dbpedia.org/resource/Countries_of_the_United_Kingdom', 'http://dbpedia.org/resource/Caves_of_Aggtelek_Karst_and_Slovak_Karst']",0,0,[],0,0.0
Show me all songs from Bruce Springsteen released between 1980 and 1990.,['http://dbpedia.org/resource/Bruce_Springsteen'],"['http://dbpedia.org/ontology/artist', 'http://dbpedia.org/ontology/releaseDate']","['http://dbpedia.org/resource/Bruce_Springsteen', 'http://dbpedia.org/resource/1980', 'http://dbpedia.org/resource/1990']",0.3333333333333333,1.0,"['http://dbpedia.org/ontology/show', 'http://dbpedia.org/ontology/anthem', 'http://dbpedia.org/property/released']",0.0,0.0
Which television shows were created by John Cleese?,['http://dbpedia.org/resource/John_Cleese'],[],['http://dbpedia.org/resource/John_Cleese'],1.0,1.0,"['http://dbpedia.org/ontology/televisionSeries', 'http://dbpedia.org/ontology/author']",0,0
When did Latvia join the EU?,['http://dbpedia.org/resource/Latvia'],['http://dbpedia.org/property/accessioneudate'],"['http://dbpedia.org/resource/Basque_language', 'http://dbpedia.org/resource/Join']",0.0,0.0,['http://dbpedia.org/property/date'],0.0,0.0
Which soccer players were born on Malta?,['http://dbpedia.org/resource/Malta'],[],"['http://dbpedia.org/resource/American_professional_soccer_players_abroad', 'http://dbpedia.org/resource/Malta']",0.5,1.0,['http://dbpedia.org/ontology/birthPlace'],0,0
How many politicians graduated from Columbia University?,"['http://dbpedia.org/resource/Politician', 'http://dbpedia.org/resource/Columbia_University']",['http://dbpedia.org/ontology/profession'],"['http://dbpedia.org/resource/Politicians_of_The_Wire', 'http://dbpedia.org/resource/Columbia_University']",0.5,0.5,['http://dbpedia.org/ontology/effectiveRadiatedPower'],0.0,0.0
Give me the birthdays of all actors of the television show Charmed.,['http://dbpedia.org/resource/Charmed'],"['http://dbpedia.org/ontology/starring', 'http://dbpedia.org/ontology/birthDate']",['http://dbpedia.org/resource/Charmed'],1.0,1.0,"['http://dbpedia.org/ontology/birthDate', 'http://dbpedia.org/ontology/background']",0.5,0.5
Which telecommunications organizations are located in Belgium?,"['http://dbpedia.org/resource/Telecommunication', 'http://dbpedia.org/resource/Belgium']",[],"['http://dbpedia.org/resource/Complex_organizations', 'http://dbpedia.org/resource/Belgium']",0.5,0.5,['http://dbpedia.org/ontology/place'],0,0
Give me a list of all lakes in Denmark.,['http://dbpedia.org/resource/Denmark'],[],['http://dbpedia.org/resource/Denmark'],1.0,1.0,['http://dbpedia.org/ontology/lake'],0,0
How many children does Eddie Murphy have?,['http://dbpedia.org/resource/Eddie_Murphy'],['http://dbpedia.org/property/children'],['http://dbpedia.org/resource/Eddie_Murphy'],1.0,1.0,['http://dbpedia.org/property/children'],1.0,1.0
Show me all English Gothic buildings in Kent.,"['http://dbpedia.org/resource/English_Gothic_architecture', 'http://dbpedia.org/resource/Kent']",[],['http://dbpedia.org/resource/English_Gothic_architecture'],1.0,0.5,['http://dbpedia.org/ontology/show'],0,0
Who is the manager of Real Madrid?,['http://dbpedia.org/resource/Real_Madrid_C.F.'],['http://dbpedia.org/ontology/manager'],['http://dbpedia.org/resource/Real_Madrid_C.F.'],1.0,1.0,['http://dbpedia.org/ontology/manager'],1.0,1.0
In which countries can you pay using the West African CFA franc?,['http://dbpedia.org/resource/West_African_CFA_franc'],['http://dbpedia.org/ontology/currency'],"['http://dbpedia.org/resource/Countries_of_the_United_Kingdom', 'http://dbpedia.org/resource/CFA', 'http://dbpedia.org/resource/West_African_CFA_franc']",0.3333333333333333,1.0,['http://dbpedia.org/ontology/currency'],1.0,1.0
Which holidays are celebrated around the world?,[],[],[],1,1,"['http://dbpedia.org/ontology/feastDay', 'http://dbpedia.org/ontology/party']",0,0
What is the longest river?,[],[],[],1,1,['http://dbpedia.org/ontology/river'],0,0
Which organizations were founded in 1930?,[],[],['http://dbpedia.org/resource/1930'],0,0,"['http://dbpedia.org/ontology/company', 'http://dbpedia.org/ontology/foundingYear']",0,0
What is the birth name of Angela Merkel?,['http://dbpedia.org/resource/Angela_Merkel'],['http://dbpedia.org/property/birthName'],['http://dbpedia.org/resource/Angela_Merkel'],1.0,1.0,['http://dbpedia.org/property/birthName'],1.0,1.0
Who has Tom Cruise been married to?,['http://dbpedia.org/resource/Tom_Cruise'],['http://dbpedia.org/ontology/spouse'],['http://dbpedia.org/resource/Tom_Cruise'],1.0,1.0,['http://dbpedia.org/ontology/spouse'],1.0,1.0
Which weapons did Heckler & Koch develop?,['http://dbpedia.org/resource/Heckler_&_Koch'],[],['http://dbpedia.org/resource/Heckler_&_Koch'],1.0,1.0,"['http://dbpedia.org/ontology/numberOfSeasons', 'http://dbpedia.org/ontology/product']",0,0
What is the smallest city by area in Germany?,[],"['kos:broade', 'ct:subjec']",['http://dbpedia.org/resource/Germany'],0,0,"['http://dbpedia.org/ontology/city', 'http://dbpedia.org/property/area']",0.0,0.0
What is the ruling party in Lisbon?,['http://dbpedia.org/resource/Lisbon'],['http://dbpedia.org/property/leaderParty'],['http://dbpedia.org/resource/Lisbon'],1.0,1.0,"['http://dbpedia.org/ontology/principal', 'http://dbpedia.org/ontology/party']",0.0,0.0
How heavy is Jupiter's lightest moon?,['http://dbpedia.org/resource/Jupiter'],['http://dbpedia.org/property/satelliteOf'],"['http://dbpedia.org/resource/Jupiter', 'http://dbpedia.org/resource/Lightest_Supersymmetric_Particle']",0.5,1.0,['http://dbpedia.org/ontology/fat'],0.0,0.0
How many employees does IBM have?,['http://dbpedia.org/resource/IBM'],['http://dbpedia.org/ontology/numberOfEmployees'],['http://dbpedia.org/resource/IBM'],1.0,1.0,['http://dbpedia.org/ontology/numberOfEmployees'],1.0,1.0
List all episodes of the first season of the HBO television series The Sopranos!,['http://dbpedia.org/resource/The_Sopranos'],['http://dbpedia.org/ontology/series'],['http://dbpedia.org/resource/The_Sopranos'],1.0,1.0,"['http://dbpedia.org/ontology/episodeNumber', 'http://dbpedia.org/ontology/seasonNumber']",0.0,0.0
What does ICRO stand for?,[],['http://dbpedia.org/ontology/abbreviation'],['http://dbpedia.org/resource/Icrossing_Inc'],0,0,['http://dbpedia.org/ontology/position'],0.0,0.0
Does the new Battlestar Galactica series have more episodes than the old one?,"['http://dbpedia.org/resource/Battlestar_Galactica_%281978_TV_series%29', 'http://dbpedia.org/resource/Battlestar_Galactica_%282004_TV_series%29']",['http://dbpedia.org/ontology/numberOfEpisodes'],"['http://dbpedia.org/resource/Diana,_Princess_of_Wales']",0.0,0.0,['http://dbpedia.org/ontology/episodeNumber'],0.0,0.0
Give me all films produced by Hal Roach.,['http://dbpedia.org/resource/Hal_Roach'],[],['http://dbpedia.org/resource/Hal_Roach'],1.0,1.0,"['http://dbpedia.org/ontology/numberOfFilms', 'http://dbpedia.org/ontology/wineProduced']",0,0
Who played Agent Smith in Matrix?,['http://dbpedia.org/resource/Agent_Smith'],['http://dbpedia.org/ontology/portrayer'],['http://dbpedia.org/resource/Agent_Smith'],1.0,1.0,['http://dbpedia.org/ontology/portrayer'],1.0,1.0
Which Greek parties are pro-European?,"['http://dbpedia.org/resource/Greece', 'http://dbpedia.org/resource/Pro-Europeanism']",[],"['http://dbpedia.org/resource/Greece', 'http://dbpedia.org/resource/Early_Greek_parties']",0.5,0.5,['http://dbpedia.org/ontology/country'],0,0
Give me a list of all bandleaders that play trumpet.,"['http://dbpedia.org/resource/Bandleader', 'http://dbpedia.org/resource/Trumpet']",['http://dbpedia.org/ontology/occupation'],['http://dbpedia.org/resource/Geraldo_(bandleader)'],0.0,0.0,"['http://dbpedia.org/ontology/starring', 'http://dbpedia.org/ontology/head']",0.0,0.0
What is the second highest mountain on Earth?,[],[],['http://dbpedia.org/resource/Earth'],0,0,['http://dbpedia.org/ontology/elevation'],0,0
Is Egypts largest city also its capital?,['http://dbpedia.org/resource/Egypt'],[],['http://dbpedia.org/resource/Largest_octopus'],0.0,0.0,['http://dbpedia.org/ontology/capital'],0,0
Which rockets were launched from Baikonur?,['http://dbpedia.org/resource/Baikonur_Cosmodrome'],[],['http://dbpedia.org/resource/Baikonur_Cosmodrome_Site_109'],0.0,0.0,"['http://dbpedia.org/ontology/capital', 'http://dbpedia.org/ontology/totalLaunches']",0,0
How many programming languages are there?,[],[],[],1,1,['http://dbpedia.org/ontology/programmingLanguage'],0,0
Which Chess players died in the same place they were born in?,[],[],['http://dbpedia.org/resource/The_Chess_Players_(film)'],0,0,"['http://dbpedia.org/ontology/deathDate', 'http://dbpedia.org/ontology/place', 'http://dbpedia.org/ontology/birthPlace']",0,0
Who is the owner of Facebook?,['http://dbpedia.org/resource/Facebook'],['http://dbpedia.org/ontology/foundedBy'],['http://dbpedia.org/resource/Facebook'],1.0,1.0,['http://dbpedia.org/ontology/owner'],0.0,0.0
Give me all movies with Tom Cruise.,['http://dbpedia.org/resource/Tom_Cruise'],[],['http://dbpedia.org/resource/Tom_Cruise'],1.0,1.0,['http://dbpedia.org/ontology/film'],0,0
In which U.S. state is Fort Knox located?,"['http://dbpedia.org/resource/Fort_Knox', 'http://dbpedia.org/resource/United_States']","['http://dbpedia.org/ontology/location', 'http://dbpedia.org/ontology/country']","['http://dbpedia.org/resource/United_States', 'http://dbpedia.org/resource/Fort_Knox']",1.0,1.0,"['http://dbpedia.org/property/location', 'http://dbpedia.org/ontology/country']",1.0,1.0
Give me all cities in New Jersey with more than 100000 inhabitants.,['http://dbpedia.org/resource/New_Jersey'],[],"['http://dbpedia.org/resource/New_Jersey', 'http://dbpedia.org/resource/100000_(disambiguation)']",0.5,1.0,['http://dbpedia.org/ontology/country'],0,0
Which mountains are higher than the Nanga Parbat?,['http://dbpedia.org/resource/Nanga_Parbat'],['http://dbpedia.org/ontology/elevation'],['http://dbpedia.org/resource/Nanga_Parbat'],1.0,1.0,"['http://dbpedia.org/ontology/elevation', 'http://dbpedia.org/ontology/elevation']",0.5,1.0
Give me all B-sides of the Ramones.,['http://dbpedia.org/resource/Ramones'],['http://dbpedia.org/ontology/musicalArtist'],['http://dbpedia.org/resource/The_B-Sides'],0.0,0.0,[],0,0.0
What are the specialities of the UNC Health Care?,['http://dbpedia.org/resource/UNC_Health_Care'],['http://dbpedia.org/property/speciality'],"['http://dbpedia.org/resource/Traditional_Specialities_Guaranteed', 'http://dbpedia.org/resource/UNC', 'http://dbpedia.org/resource/Health_care']",0.0,0.0,[],0,0.0
When was Olof Palme shot?,['http://dbpedia.org/resource/Olof_Palme'],['http://dbpedia.org/ontology/deathDate'],['http://dbpedia.org/resource/Olof_Palme'],1.0,1.0,['http://dbpedia.org/ontology/discharge'],0.0,0.0
List the seven kings of Rome.,['http://dbpedia.org/resource/King_of_Rome'],['http://dbpedia.org/property/title'],['http://dbpedia.org/resource/Rome'],0.0,0.0,['http://dbpedia.org/ontology/leader'],0.0,0.0
Give me all people that were born in Vienna and died in Berlin.,"['http://dbpedia.org/resource/Vienna', 'http://dbpedia.org/resource/Berlin']",['http://dbpedia.org/ontology/birthPlace'],"['http://dbpedia.org/resource/Vienna', 'http://dbpedia.org/resource/Berlin']",1.0,1.0,"['http://dbpedia.org/ontology/birthPlace', 'http://dbpedia.org/ontology/flag']",0.5,1.0
Is Darth Vader Luke’s father?,"['http://dbpedia.org/resource/Darth_Vader', 'http://dbpedia.org/resource/Luke_Skywalker']",['http://dbpedia.org/ontology/child'],['http://dbpedia.org/resource/Darth_Vader'],1.0,0.5,[],0,0.0
Show me all the breweries in Australia.,"['http://dbpedia.org/resource/Australia', 'http://dbpedia.org/resource/Australia']",['http://dbpedia.org/ontology/country'],['http://dbpedia.org/resource/Palm_Breweries'],0.0,0.0,['http://dbpedia.org/ontology/show'],0.0,0.0
Give me all films produced by Steven Spielberg with a budget of at least $80 million.,['http://dbpedia.org/resource/Steven_Spielberg'],"['http://dbpedia.org/ontology/director', 'http://dbpedia.org/ontology/budget']","['http://dbpedia.org/resource/Steven_Spielberg', 'http://dbpedia.org/resource/Boeing_80']",0.5,1.0,"['http://dbpedia.org/ontology/production', 'http://dbpedia.org/ontology/manufacturer', 'http://dbpedia.org/ontology/budget']",0.3333333333333333,0.5
Give me all soccer clubs in Spain.,['http://dbpedia.org/resource/Spain'],[],['http://dbpedia.org/resource/Spain'],1.0,1.0,['http://dbpedia.org/ontology/clubsRecordGoalscorer'],0,0
Who produced films starring Natalie Portman?,['http://dbpedia.org/resource/Natalie_Portman'],[],['http://dbpedia.org/resource/Natalie_Portman'],1.0,1.0,['http://dbpedia.org/ontology/wineProduced'],0,0
Give me all breeds of the German Shepherd dog.,['http://dbpedia.org/resource/German_Shepherd'],['http://dbpedia.org/property/breed'],"['http://dbpedia.org/resource/Germany', 'http://dbpedia.org/resource/German_Shepherd']",0.5,1.0,"['http://dbpedia.org/ontology/genre', 'http://dbpedia.org/ontology/country']",0.0,0.0
Who is the heaviest player of the Chicago Bulls?,"['http://dbpedia.org/resource/Chicago_Bulls', 'http://dbpedia.org/resource/Chicago_Bulls', 'http://dbpedia.org/resource/Chicago_Bulls']",[],['http://dbpedia.org/resource/Chicago_Bulls'],1.0,0.3333333333333333,['http://dbpedia.org/ontology/coach'],0,0
Which languages are spoken in Estonia?,['http://dbpedia.org/resource/Estonia'],['http://dbpedia.org/ontology/spokenIn'],['http://dbpedia.org/resource/Estonia'],1.0,1.0,"['http://dbpedia.org/ontology/language', 'http://dbpedia.org/ontology/spokenIn']",0.5,1.0
What is the largest country in the world?,[],[],[],1,1,['http://dbpedia.org/ontology/areaTotal'],0,0
What is the largest city in america?,[],['http://dbpedia.org/ontology/largestCity'],[],1,1,"['http://dbpedia.org/ontology/largestCity', 'http://dbpedia.org/ontology/province']",0.5,1.0
Quale papa ha fondato la televisione vaticana?,['http://dbpedia.org/resource/Vatican_Television_Center'],['http://dbpedia.org/ontology/foundedBy'],"['http://dbpedia.org/resource/Marcello_Fondato', 'http://dbpedia.org/resource/416_Vaticana']",0.0,0.0,[],0,0.0
Who discovered Ceres?,['http://dbpedia.org/resource/Ceres_(dwarf_planet)'],['http://dbpedia.org/ontology/discoverer'],['http://dbpedia.org/resource/Ceres_(dwarf_planet)'],1.0,1.0,['http://dbpedia.org/ontology/discoverer'],1.0,1.0
Who is the king of the Netherlands?,['http://dbpedia.org/resource/Netherlands'],['http://dbpedia.org/ontology/leader'],['http://dbpedia.org/resource/Netherlands'],1.0,1.0,['http://dbpedia.org/ontology/leader'],1.0,1.0
Is Cola a beverage?,['http://dbpedia.org/resource/Cola'],[],['http://dbpedia.org/resource/Cola'],1.0,1.0,['http://dbpedia.org/ontology/strength'],0,0
What is the alma mater of the chancellor of Germany Angela Merkel?,[],['http://dbpedia.org/ontology/almaMater'],['http://dbpedia.org/resource/Angela_Merkel'],0,0,"['http://dbpedia.org/ontology/almaMater', 'http://dbpedia.org/ontology/chancellor']",0.5,1.0
Who wrote the book Les Piliers de la terre?,['http://dbpedia.org/resource/The_Pillars_of_the_Earth'],['http://dbpedia.org/ontology/author'],['http://dbpedia.org/resource/La_Terre'],0.0,0.0,['http://dbpedia.org/ontology/author'],1.0,1.0
Which airports does Yeti Airlines serve?,['http://dbpedia.org/resource/Yeti_Airlines'],['http://dbpedia.org/ontology/targetAirport'],['http://dbpedia.org/resource/Yeti_Airlines'],1.0,1.0,"['http://dbpedia.org/ontology/hubAirport', 'http://dbpedia.org/ontology/colour']",0.0,0.0
Where is the birthplace of Goethe?,[],['http://dbpedia.org/ontology/birthPlace'],['http://dbpedia.org/resource/Goethe_Prize'],0,0,['http://dbpedia.org/ontology/birthPlace'],1.0,1.0
Was the Cuban Missile Crisis earlier than the Bay of Pigs Invasion?,"['http://dbpedia.org/resource/Cuban_Missile_Crisis', 'http://dbpedia.org/resource/Bay_of_Pigs_Invasion']",['http://dbpedia.org/ontology/date'],"['http://dbpedia.org/resource/Cuba', 'http://dbpedia.org/resource/Cuban_Missile_Crisis', 'http://dbpedia.org/resource/Bay_of_Pigs_Invasion']",0.6666666666666666,1.0,"['http://dbpedia.org/ontology/date', 'http://dbpedia.org/ontology/country']",0.5,1.0
Which ingredients do I need for carrot cake?,['http://dbpedia.org/resource/Carrot_cake'],['http://dbpedia.org/ontology/ingredient'],"['http://dbpedia.org/resource/I', 'http://dbpedia.org/resource/Carrot_cake']",0.5,1.0,['http://dbpedia.org/ontology/ingredient'],1.0,1.0
Who created Wikipedia?,['http://dbpedia.org/resource/Wikipedia'],['http://dbpedia.org/ontology/author'],['http://dbpedia.org/resource/Wikipedia'],1.0,1.0,['http://dbpedia.org/ontology/author'],1.0,1.0
What is the highest mountain in Saxony Germany?,[],['http://dbpedia.org/ontology/mountainRange'],"['http://dbpedia.org/resource/Frankenstein,_Saxony']",0,0,['http://dbpedia.org/ontology/elevation'],0.0,0.0
Who is the current federal minister of finance in Germany?,['http://dbpedia.org/resource/Federal_Ministry_of_Finance_(Germany)'],['http://dbpedia.org/ontology/leader'],"['http://dbpedia.org/resource/Current_prime_minister_of_Canada', 'http://dbpedia.org/resource/Germany']",0.0,0.0,['http://dbpedia.org/ontology/operator'],0.0,0.0
In which country is Mecca located?,['http://dbpedia.org/resource/Mecca'],['http://dbpedia.org/ontology/country'],['http://dbpedia.org/resource/Mecca'],1.0,1.0,"['http://dbpedia.org/ontology/country', 'http://dbpedia.org/ontology/locatedInArea']",0.5,1.0
Who played Gus Fring in Breaking Bad?,['http://dbpedia.org/resource/Gus_Fring'],['http://dbpedia.org/ontology/portrayer'],"['http://dbpedia.org/resource/Gus_Fring', 'http://dbpedia.org/resource/Breaking_Bad']",0.5,1.0,['http://dbpedia.org/ontology/portrayer'],1.0,1.0
In which country does the Nile start?,['http://dbpedia.org/resource/Nile'],['http://dbpedia.org/ontology/sourceCountry'],['http://dbpedia.org/resource/Nile'],1.0,1.0,"['http://dbpedia.org/ontology/country', 'http://dbpedia.org/ontology/source']",0.0,0.0
In which state Penn State University is located?,[],['http://dbpedia.org/ontology/state'],['http://dbpedia.org/resource/Pennsylvania_State_University'],0,0,['http://dbpedia.org/ontology/position'],0.0,0.0
What is the biggest stadium in Spain?,['http://dbpedia.org/resource/Spain'],[],['http://dbpedia.org/resource/Spain'],1.0,1.0,['http://dbpedia.org/property/stadium'],0,0
Who is the coach of Ankara's ice hockey team?,"['http://dbpedia.org/resource/Ankara', 'http://dbpedia.org/resource/Turkish_Ice_Hockey_First_League']",['http://dbpedia.org/ontology/city'],"['http://dbpedia.org/resource/Ankara', 'http://dbpedia.org/resource/Greece_national_ice_hockey_team']",0.5,0.5,['http://dbpedia.org/ontology/coach'],0.0,0.0
How large is the area of UK?,[],['http://dbpedia.org/ontology/areaTotal'],['http://dbpedia.org/resource/United_Kingdom'],0,0,['http://dbpedia.org/ontology/area'],0.0,0.0
Who created Batman?,['http://dbpedia.org/resource/Batman'],['http://dbpedia.org/ontology/creator'],['http://dbpedia.org/resource/Batman'],1.0,1.0,['http://dbpedia.org/ontology/creator'],1.0,1.0
Was Sigmund Freud married?,[],['http://dbpedia.org/ontology/spouse'],['http://dbpedia.org/resource/Sigmund_Freud'],0,0,[],0,0.0
Who are the developers of DBpedia?,['http://dbpedia.org/resource/DBpedia'],['http://dbpedia.org/ontology/developer'],['http://dbpedia.org/resource/DBpedia'],1.0,1.0,['http://dbpedia.org/ontology/developer'],1.0,1.0
Give me all movies directed by Francis Ford Coppola.,['http://dbpedia.org/resource/Francis_Ford_Coppola'],[],['http://dbpedia.org/resource/Francis_Ford_Coppola'],1.0,1.0,"['http://dbpedia.org/ontology/film', 'http://dbpedia.org/ontology/president']",0,0
Are tree frogs a type of amphibian?,"['http://dbpedia.org/resource/Hylidae', 'http://dbpedia.org/resource/Amphibian']",['http://dbpedia.org/ontology/class'],['http://dbpedia.org/resource/Amphibian'],1.0,0.5,"['http://dbpedia.org/ontology/family', 'http://dbpedia.org/property/gross', 'http://dbpedia.org/ontology/type']",0.0,0.0
What is the location of the Houses of Parliament?,['http://dbpedia.org/resource/Palace_of_Westminster'],['http://dbpedia.org/ontology/location'],['http://dbpedia.org/resource/Palace_of_Westminster'],1.0,1.0,['http://dbpedia.org/ontology/location'],1.0,1.0
how much is the elevation of Düsseldorf Airport ?,[],['http://dbpedia.org/ontology/elevation'],['http://dbpedia.org/resource/Düsseldorf_Airport'],0,0,['http://dbpedia.org/ontology/elevation'],1.0,1.0
How much is the population of mexico city ?,[],['http://dbpedia.org/ontology/populationTotal'],[],1,1,"['http://dbpedia.org/ontology/country', 'http://dbpedia.org/ontology/municipality']",0.0,0.0
when was the founding date of french fifth republic?,[],['http://dbpedia.org/ontology/foundingDate'],[],1,1,"['http://dbpedia.org/ontology/institution', 'http://dbpedia.org/ontology/channel', 'http://dbpedia.org/ontology/state']",0.0,0.0
Who was the first King of England?,[],[],['http://dbpedia.org/resource/List_of_English_monarchs'],0,0,[],1,1
Who is the editor of Forbes?,['http://dbpedia.org/resource/Forbes'],['http://dbpedia.org/ontology/editor'],['http://dbpedia.org/resource/Forbes'],1.0,1.0,['http://dbpedia.org/ontology/editor'],1.0,1.0
Which awards did Douglas Hofstadter win?,['http://dbpedia.org/resource/Douglas_Hofstadter'],['http://dbpedia.org/ontology/award'],['http://dbpedia.org/resource/Douglas_Hofstadter'],1.0,1.0,"['http://dbpedia.org/ontology/award', 'http://dbpedia.org/ontology/award']",0.5,1.0
